A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,Class
0.2423,0.2598,0.1839,0.0201,0.3027,0.2462,0.1773,0.0239,0.3039,0.2121,0.2632,0.0327,0.001,0.6717,0.3954,0.7929,0.7905,0.6891,0.5746,0.7382,0.5501,0.7127,0.7182,0.5112,0.001,0.722,0.3144,0.7804,0.728,0.6667,0.5111,0.7699,0.8442,0.7717,0.6536,0.4213,1
0.4154,0.1571,0.3708,0.0165,0.5794,0.1649,0.2916,0.0099,0.5605,0.1696,0.4151,0.0096,0.0009,0.7864,0.334,0.8552,0.7995,0.8554,0.7337,0.7673,0.6807,0.8367,0.9357,0.5965,0.0009,0.814,0.3083,0.8788,0.9277,0.8597,0.774,0.696,0.8132,0.9106,0.9234,0.3935,1
0.4627,0.2789,0.2298,0.0448,0.6278,0.2662,0.2301,0.0332,0.615,0.2287,0.3605,0.0369,0.0006,0.7158,0.3079,0.8551,0.7453,0.7475,0.64,0.8082,0.6246,0.7354,0.7873,0.4743,0.0006,0.7549,0.1471,0.6517,0.7554,0.6405,0.6879,0.8011,0.7562,0.9124,0.8499,0.4309,1
0.2882,0.2954,0.3356,0.0323,0.4369,0.2971,0.2975,0.0445,0.4474,0.2293,0.4642,0.0471,0.0003,0.6491,0.2547,0.6304,0.6743,0.73,0.6552,0.854,0.5883,0.6998,0.6405,0.4033,0.0003,0.6492,0.171,0.5933,0.6257,0.5592,0.7116,0.6395,0.5435,0.8286,0.8768,0.4231,1
0.1627,0.331,0.1425,0.0736,0.2053,0.3257,0.1637,0.0829,0.2125,0.2615,0.2637,0.0872,0.0009,0.5991,0.211,0.7071,0.6095,0.7111,0.5984,0.7553,0.6079,0.5062,0.5344,0.4921,0.0009,0.6307,0.3425,0.6963,0.7112,0.8601,0.6628,0.7193,0.7728,0.8347,0.7122,0.2712,1
0.3087,0.1782,0.3647,0.0203,0.4044,0.2047,0.2612,0.0228,0.3987,0.2016,0.406,0.0243,0.0009,0.6798,0.3661,0.7956,0.7199,0.7821,0.6903,0.7559,0.5424,0.6893,0.6988,0.4521,0.0009,0.7076,0.2711,0.688,0.6679,0.6934,0.7595,0.5759,0.5463,0.7412,0.7373,0.3512,1
0.4159,0.1516,0.2711,0.0003,0.5571,0.1391,0.2723,0.0026,0.5289,0.1538,0.3822,0.0043,0.0023,0.7595,0.3501,0.8366,0.7882,0.8991,0.7856,0.8547,0.6308,0.7262,0.7067,0.4289,0.0023,0.8085,0.2455,0.8027,0.9005,0.9447,0.6677,0.8001,0.6587,0.6124,0.7391,0.4336,1
0.3248,0.2784,0.1804,0.0209,0.4284,0.2801,0.1914,0.014,0.405,0.2782,0.2802,0.0215,0.0013,0.6922,0.3514,0.7371,0.6963,0.8165,0.6147,0.7634,0.6503,0.6925,0.7019,0.5607,0.0013,0.7406,0.2246,0.928,0.8197,0.8246,0.7457,0.6833,0.8306,0.8533,0.97,0.4904,1
0.3862,0.1427,0.3816,0.0025,0.5887,0.1467,0.3265,0.0025,0.5853,0.1316,0.4999,0.0025,0.001,0.8744,0.3335,0.8508,0.8677,0.9273,0.7859,0.9445,0.8396,0.917,0.9281,0.5264,0.001,0.871,0.3155,0.8562,0.8899,0.6939,0.7447,0.8086,0.9318,0.8872,0.9022,0.4055,1
0.3507,0.3133,0.2661,0.0164,0.532,0.374,0.2009,0.0205,0.4843,0.3844,0.262,0.0215,0.0035,0.6377,0.4057,0.7653,0.7089,0.705,0.6347,0.766,0.5267,0.596,0.5948,0.4056,0.0035,0.627,0.3276,0.7188,0.7362,0.6697,0.6916,0.73,0.6244,0.755,0.6639,0.3432,1
0.1924,0.2931,0.2022,0.0718,0.2339,0.3175,0.1937,0.055,0.2324,0.2771,0.293,0.0566,0.0002,0.6908,0.503,0.708,0.6912,0.732,0.7463,0.826,0.5786,0.6499,0.6202,0.3868,0.0002,0.7234,0.1664,0.705,0.7248,0.5941,0.6986,0.677,0.6091,0.822,0.8025,0.3847,1
0.2889,0.2803,0.1856,0.0311,0.3578,0.2706,0.1781,0.026,0.3449,0.2416,0.2496,0.0334,0.0018,0.608,0.2748,0.5743,0.7353,0.6191,0.5812,0.7143,0.5759,0.737,0.7239,0.3847,0.0018,0.6449,0.1903,0.6662,0.5711,0.4946,0.482,0.5785,0.6318,0.9589,0.7288,0.2732,1
0.4133,0.1317,0.4836,0.0929,0.4885,0.1795,0.4849,0.0948,0.4694,0.2144,0.6324,0.1059,0.0012,0.9152,0.5866,0.9203,0.8408,0.9663,1,0.9524,0.8615,0.8879,0.7553,0.5538,0.0012,0.9869,0.1892,0.6907,0.6548,0.8129,0.9445,0.9076,0.9467,1,0.7153,0.4301,1
0.3931,0.3301,0.3702,0.0774,0.5086,0.427,0.4262,0.0706,0.453,0.5197,0.4907,0.0754,0.0014,0.6827,0.8226,0.7093,0.7064,0.7129,0.6529,0.7326,0.5533,0.7486,0.6974,0.3605,0.0014,0.7292,0.1038,0.6302,0.7696,0.5762,0.7221,0.7022,0.8604,0.7487,0.6839,0.2789,1
0.4346,0.1205,0.3379,0.0374,0.5589,0.1132,0.3423,0.0273,0.5468,0.1281,0.5248,0.0338,0.0002,0.7382,0.2637,0.8045,0.7652,0.6164,0.6473,0.8421,0.7624,0.9156,0.8015,0.5687,0.0002,0.7792,0.1396,0.569,0.6154,0.3959,0.569,0.8616,0.781,0.8572,0.7128,0.5453,1
0.5246,0.0347,0.5307,0.0258,0.7117,0.05,0.4688,0.0296,0.6953,0.0659,0.6243,0.0324,0.0025,0.8065,0.4103,0.8093,0.8279,0.7983,0.725,0.948,0.7933,0.7744,0.9323,0.4519,0.0025,0.8209,0.2151,0.6834,0.823,0.5865,0.5097,0.7885,0.7956,0.7441,0.7882,0.3156,1
0.3745,0.179,0.3715,0.0294,0.5385,0.1971,0.3597,0.0352,0.5307,0.1964,0.4519,0.0361,0.0005,0.8136,0.3936,0.8384,0.8649,0.8395,0.7888,0.8967,0.7681,0.7991,0.7658,0.5065,0.0005,0.8276,0.2918,0.8281,0.9183,0.7644,0.9996,0.8059,0.8884,0.909,0.9196,0.4769,1
0.6404,0.0712,0.5182,0.0335,0.9029,0.0874,0.4782,0.0401,0.9015,0.1019,0.6505,0.0428,0.0014,0.7848,0.3623,0.9179,0.8842,0.8885,0.7631,0.9768,0.5292,0.7315,0.9151,0.3038,0.0014,0.8089,0.2088,0.7031,0.8527,0.742,0.8314,0.7359,0.5777,0.7557,0.8171,0.1907,1
0.2473,0.2994,0.291,0.0267,0.3852,0.3209,0.2539,0.0309,0.391,0.2752,0.3786,0.0312,0.0011,0.6515,0.2272,0.7219,0.6927,0.7867,0.7542,0.8655,0.5937,0.6653,0.5464,0.3093,0.0011,0.6409,0.1463,0.6355,0.6805,0.8004,0.8171,0.685,0.7078,0.5905,0.3141,0.3634,1
0.4145,0.2134,0.3782,0.0251,0.6138,0.2166,0.3247,0.0291,0.5855,0.2206,0.4399,0.0289,0.0013,0.7603,0.2801,0.8191,0.811,0.7961,0.7245,0.9078,0.7364,0.7364,0.7994,0.4755,0.0013,0.7587,0.1182,0.7947,0.8937,0.7735,0.7416,0.8408,0.9213,0.6949,0.72,0.2776,1
0.5199,0.1343,0.4117,0.0144,0.7184,0.1765,0.2994,0.0163,0.7006,0.1573,0.4449,0.0176,0.0015,0.7438,0.3315,0.7733,0.7233,0.8058,0.7795,0.8767,0.6534,0.757,0.764,0.5333,0.0015,0.7427,0.2434,0.7576,0.7754,0.7608,0.8326,0.7411,0.6188,0.8301,0.7743,0.2861,1
0.2839,0.3188,0.1466,0.0201,0.3777,0.3419,0.1622,0.0176,0.3731,0.2989,0.2197,0.0215,0.0036,0.6381,0.3242,0.663,0.7467,0.7784,0.6961,0.7557,0.5201,0.6546,0.5353,0.4472,0.0036,0.6636,0.3015,0.6807,0.7497,0.8071,0.7313,0.7316,0.7319,0.8819,0.6949,0.2225,1
0.356,0.2362,0.3194,0.0178,0.502,0.2548,0.2261,0.0193,0.4515,0.2942,0.3033,0.018,0.0098,0.6481,0.3775,0.7814,0.6786,0.6262,0.6863,0.8019,0.5716,0.6089,0.6923,0.3667,0.0098,0.6607,0.2941,0.7539,0.7945,0.5778,0.7413,0.637,0.6687,0.7498,0.4973,0.4873,1
0.4331,0.0965,0.4474,0.0293,0.5919,0.1107,0.3522,0.0324,0.5355,0.1526,0.4402,0.0321,0.0018,0.8072,0.3505,0.7899,0.8859,0.9028,0.8079,0.876,0.7022,0.7961,0.7963,0.5332,0.0018,0.8291,0.174,0.7005,0.8516,0.8451,0.9705,0.912,0.7247,0.7623,0.6427,0.3185,1
0.3774,0.1779,0.2375,0.0565,0.4636,0.1916,0.2382,0.0298,0.4646,0.1781,0.3219,0.0372,0.001,0.6687,0.3313,0.7514,0.7411,0.714,0.6432,0.7523,0.7267,0.5449,0.7242,0.2618,0.001,0.7081,0.1594,0.602,0.7555,0.6837,0.6698,0.655,0.8431,0.7809,0.8252,0.269,1
0.3771,0.1385,0.2545,0.0081,0.4674,0.1229,0.2717,0.0055,0.462,0.1144,0.3502,0.0059,0.0006,0.6844,0.2383,0.7485,0.7833,0.852,0.6746,0.7954,0.6537,0.5915,0.7335,0.3988,0.0006,0.7333,0.1865,0.7914,0.7214,0.9599,0.6764,0.7421,0.8431,0.5579,0.5717,0.3763,1
0.3776,0.2424,0.3087,0.0098,0.5296,0.2537,0.2437,0.0073,0.5297,0.2334,0.3586,0.0079,0.002,0.677,0.2632,0.7362,0.7342,0.738,0.5757,0.783,0.6904,0.7395,0.6905,0.4813,0.002,0.7004,0.1706,0.7408,0.6915,0.7267,0.8792,0.737,0.8728,0.7682,0.8066,0.3962,1
0.6808,0.2094,0.6062,0.1396,0.967,0.3351,0.7312,0.1552,0.8552,0.5607,0.8514,0.1561,0.0004,0.8986,0.8273,0.8586,0.9175,0.8061,0.8755,0.9905,0.8395,0.776,0.8356,0.3937,0.0004,0.9125,0.0855,0.5807,0.8278,0.7348,0.7686,0.879,0.7874,0.779,0.6342,0.3392,1
0.1606,0.1285,0.2723,0.0169,0.193,0.0787,0.3079,0.01,0.1928,0.1022,0.416,0.0172,0.0008,0.6226,0.2392,0.7256,0.7973,0.7091,0.6902,0.7451,0.5208,0.6481,0.3671,0.4906,0.0008,0.6809,0.2901,0.5835,0.7289,0.5588,0.6276,0.6733,0.3737,0.5804,0.4627,0.2889,1
0.2317,0.1864,0.2366,0.0238,0.27,0.156,0.2247,0.0126,0.2536,0.1648,0.3289,0.0182,0.0004,0.6331,0.2683,0.6191,0.7278,0.6935,0.6221,0.6965,0.5972,0.6562,0.7197,0.5726,0.0004,0.6828,0.099,0.5506,0.754,0.6349,0.5949,0.6176,0.793,0.6836,0.8349,0.5398,1
0.2627,0.1913,0.2417,0.0194,0.3011,0.2302,0.1971,0.0062,0.2643,0.2946,0.2406,0.008,0.0009,0.6777,0.271,0.7354,0.6058,0.7663,0.7587,0.7142,0.6542,0.642,0.8984,0.3553,0.0009,0.7336,0.1485,0.7127,0.6857,0.664,0.7324,0.7182,0.7108,0.8933,0.9057,0.4916,1
0.5161,0.1672,0.457,0.0484,0.7595,0.1852,0.3733,0.0537,0.6986,0.2339,0.492,0.0531,0.0067,0.8108,0.3986,0.9648,0.8519,0.7377,0.7837,0.8814,0.7081,0.7925,0.9511,0.6157,0.0067,0.8148,0.1879,0.8617,0.754,0.6692,0.7634,0.826,0.7561,0.9024,0.813,0.2822,1
0.3704,0.1393,0.4202,0.0346,0.5351,0.1743,0.3458,0.0412,0.4936,0.2053,0.4362,0.0419,0.0024,0.8188,0.445,0.9114,0.8548,0.8538,0.7959,0.8956,0.6979,0.7667,0.923,0.4397,0.0024,0.8181,0.2856,0.8079,0.8923,0.8944,0.7555,0.7621,0.9242,0.8762,0.6912,0.4372,1
0.68,0,0.6087,0.0183,1,0.0009,0.5884,0.0212,1,0.0301,0.8338,0.0218,0.0009,1,0.5304,1,1,1,0.9501,0.9671,1,1,0.8476,0.3081,0.0009,1,0.291,1,0.7829,0.8128,0.7922,0.6922,1,0.859,0.702,0.336,1
0.2511,0.2171,0.3416,0.0227,0.3633,0.2444,0.2904,0.0234,0.3583,0.2404,0.3786,0.0237,0.001,0.6805,0.2632,0.7381,0.7023,0.7288,0.7185,0.7949,0.6371,0.6746,0.7678,0.3779,0.001,0.6862,0.2488,0.6897,0.7152,0.5512,0.7648,0.6477,0.6783,0.6764,0.3481,0.3628,1
0.3497,0.1545,0.3956,0.0302,0.5262,0.1847,0.3524,0.0318,0.4957,0.2152,0.4417,0.0311,0.0007,0.8378,0.4073,0.9197,0.7363,0.8174,0.8851,0.9795,0.7049,0.8808,0.8518,0.5658,0.0007,0.8325,0.2682,0.8873,0.7648,0.8402,0.946,0.9745,0.9858,0.9355,0.7857,0.3825,1
0.3928,0.1901,0.3413,0.0068,0.5756,0.2037,0.2966,0.0058,0.5377,0.2295,0.3713,0.0067,0.0067,0.7388,0.3686,0.9062,0.7847,0.8617,0.7413,0.81,0.6448,0.6694,0.7158,0.3498,0.0067,0.7435,0.1687,0.8259,0.8676,0.8098,0.833,0.6867,0.7602,0.6742,0.7388,0.4048,1
0.3801,0.1368,0.2917,0.0288,0.444,0.155,0.2255,0.0212,0.4083,0.1842,0.3457,0.0245,0.0017,0.8147,0.401,0.915,0.7657,0.8925,0.7958,0.9407,0.6949,0.8171,0.7787,0.5634,0.0017,0.8731,0.2644,0.8445,0.985,0.9493,0.9795,0.7192,0.8383,0.9327,0.9365,0.401,1
0.4359,0.1424,0.4187,0.0161,0.6254,0.1697,0.3459,0.0106,0.5914,0.1908,0.4363,0.0112,0.0013,0.8289,0.2859,0.8991,0.8072,0.8388,0.7629,0.8665,0.787,0.8473,0.9627,0.5715,0.0013,0.827,0.2253,0.9645,0.8964,0.8923,0.8582,0.9467,0.8693,0.9718,0.8521,0.5407,1
0.5926,0.0389,0.5691,0.0495,0.7866,0.0704,0.4669,0.0517,0.7482,0.1114,0.6085,0.0513,0.0008,0.8104,0.4939,0.9832,0.7831,0.8352,0.7044,0.8777,0.7521,0.7464,0.8438,0.5043,0.0008,0.8396,0.2377,0.8157,0.7452,0.6382,0.5821,0.8295,0.8772,0.7372,0.8386,0.3523,1
0.1727,0.3152,0.269,0.014,0.2464,0.3398,0.2083,0.0092,0.2448,0.3118,0.3408,0.0108,0.0009,0.6271,0.195,0.7603,0.6124,0.72,0.6541,0.7116,0.6363,0.5642,0.6913,0.4541,0.0009,0.645,0.132,0.7944,0.6644,0.6084,0.7662,0.9355,0.6385,0.6256,0.7138,0.2885,1
0.2219,0.3881,0.2964,0.0283,0.285,0.4259,0.1888,0.0258,0.2779,0.3946,0.2961,0.026,0.0007,0.5046,0.1482,0.5614,0.5731,0.5768,0.5738,0.691,0.5042,0.4076,0.5094,0.4075,0.0007,0.529,0.0902,0.6057,0.5784,0.6635,0.5985,0.634,0.5093,0.6143,0.7223,0.2372,1
0.171,0.2772,0.1864,0.0705,0.1921,0.2637,0.1832,0.0384,0.1995,0.2203,0.2549,0.0453,0.0002,0.5503,0.2106,0.6743,0.6638,0.6418,0.5948,0.7036,0.4887,0.5782,0.5094,0.307,0.0002,0.5988,0.1089,0.524,0.4458,0.533,0.4671,0.516,0.4553,0.5167,0.6825,0.2789,1
0.1891,0.2847,0.1582,0.0222,0.2313,0.2581,0.1614,0.0167,0.2351,0.2133,0.2542,0.0238,0.0015,0.5213,0.3409,0.5954,0.5863,0.6166,0.5719,0.6106,0.5,0.4755,0.5645,0.19,0.0015,0.5643,0.2546,0.6207,0.4928,0.5998,0.4766,0.6103,0.4583,0.4624,0.5283,0.3413,1
0.4725,0.0936,0.4157,0,0.6881,0.0942,0.3648,0,0.692,0.0877,0.5267,0,0.0005,0.7543,0.3443,0.8089,0.7742,0.8817,0.5578,0.9507,0.6578,0.7559,0.801,0.5247,0.0005,0.7774,0.2562,0.6819,0.6567,0.7642,0.6859,0.6587,0.5542,0.7966,0.7883,0.4716,1
0.1752,0.3024,0.2018,0.0084,0.209,0.2976,0.2018,0.0091,0.2075,0.2444,0.2987,0.0123,0.0011,0.6251,0.189,0.6293,0.5854,0.6542,0.7323,0.7816,0.6756,0.6795,0.5399,0.5014,0.0011,0.6672,0.1016,0.5369,0.4457,0.4701,0.6925,0.915,0.6436,0.7921,0.6729,0.2624,1
0.4267,0.1034,0.4382,0.0068,0.5873,0.1097,0.3582,0.0058,0.5754,0.1286,0.4966,0.005,0.0007,0.7494,0.2457,0.8738,0.7625,0.8302,0.7088,0.778,0.7474,0.5812,0.8638,0.6283,0.0007,0.7601,0.1285,0.743,0.7654,0.663,0.6629,0.6807,0.703,0.7328,0.7961,0.4721,1
0.3539,0.127,0.2887,0.0246,0.4306,0.1202,0.2894,0.0267,0.4405,0.112,0.4402,0.0336,0.0003,0.774,0.2485,0.7412,0.75,0.8699,0.7611,0.8827,0.7245,0.6974,0.8636,0.6365,0.0003,0.8401,0.1904,0.7442,0.8091,0.8926,0.7789,0.8007,0.8195,0.8764,0.9829,0.5157,1
0.1453,0.4577,0.11,0.0274,0.1637,0.4768,0.0958,0.0206,0.163,0.4085,0.169,0.0285,0.0003,0.5084,0.1983,0.6146,0.5621,0.6498,0.5309,0.6532,0.5404,0.559,0.4011,0.3886,0.0003,0.5535,0.2256,0.4568,0.6277,0.5877,0.6251,0.5707,0.6344,0.6242,0.5642,0.38,1
0.2059,0.3667,0.2364,0.0127,0.287,0.3806,0.1505,0.0087,0.2899,0.3185,0.2921,0.0101,0.0007,0.5577,0.3521,0.5808,0.6102,0.6323,0.6073,0.6543,0.5549,0.4786,0.5849,0.3867,0.0007,0.5703,0.2485,0.6908,0.6661,0.6772,0.7142,0.4807,0.4998,0.6738,0.6534,0.3366,1
0.357,0.1465,0.4034,0.0101,0.5172,0.1741,0.3282,0.0044,0.5111,0.1764,0.5085,0.0051,0.0001,0.6879,0.3231,0.6991,0.7523,0.7892,0.6843,0.7917,0.6328,0.6209,0.6918,0.4699,0.0001,0.6825,0.2813,0.6633,0.6276,0.6809,0.4814,0.4965,0.6163,0.6701,0.614,0.3684,1
0.4526,0.026,0.4204,0.0179,0.5671,0,0.4429,0.0125,0.5544,0,0.6093,0.0153,0.0007,0.9006,0.503,0.9443,0.7657,0.9713,0.9308,0.9848,0.8874,0.9036,0.8908,0.3675,0.0007,0.97,0.2747,0.7263,0.9653,0.7733,0.9269,0.8422,0.8172,0.7522,0.5995,0.2814,1
0.1647,0.3585,0.132,0.0174,0.2159,0.3624,0.1567,0.0176,0.2025,0.3545,0.2152,0.0243,0.0036,0.6032,0.2633,0.7144,0.7839,0.6812,0.5964,0.6689,0.573,0.4988,0.631,0.3804,0.0036,0.6368,0.1928,0.7125,0.7796,0.7829,0.6252,0.7544,0.57,0.5697,0.6867,0.3542,1
0.3136,0.3334,0.279,0.0205,0.4499,0.3614,0.2072,0.0177,0.4366,0.343,0.3476,0.0184,0.0021,0.5971,0.3579,0.6652,0.638,0.7088,0.5636,0.6523,0.6035,0.546,0.6028,0.4549,0.0021,0.6028,0.3009,0.7328,0.7589,0.6448,0.6814,0.7135,0.5791,0.7654,0.6904,0.3528,1
0.4579,0.1366,0.3634,0.0238,0.5828,0.1174,0.3636,0.019,0.55,0.1296,0.4769,0.0194,0.0005,0.8377,0.3675,0.9092,0.8291,0.7822,0.8316,1,0.6381,0.8426,0.9642,0.6037,0.0005,0.8939,0.2315,0.678,0.8268,0.6567,0.9199,0.7699,0.6508,0.8075,0.749,0.4751,1
0.3032,0.2389,0.3317,0.0151,0.4474,0.2618,0.2973,0.0161,0.4489,0.2263,0.4345,0.0158,0.0017,0.5648,0.2175,0.6316,0.6711,0.651,0.6295,0.6878,0.4783,0.5753,0.5382,0.4155,0.0017,0.5627,0.1224,0.5843,0.5738,0.4938,0.5077,0.5036,0.4588,0.5438,0.6972,0.3023,1
0.1681,0.3774,0.1436,0.054,0.1862,0.4299,0.1189,0.0255,0.1662,0.4636,0.1552,0.0303,0.0026,0.5428,0.2755,0.7172,0.602,0.6608,0.5719,0.6287,0.4933,0.5109,0.4701,0.3385,0.0026,0.5916,0.1568,0.6751,0.6264,0.659,0.6729,0.6737,0.6093,0.5547,0.6924,0.2783,1
0.2236,0.3522,0.2699,0.0257,0.3158,0.365,0.2052,0.0168,0.3206,0.3103,0.3292,0.0176,0.0019,0.5641,0.2839,0.6596,0.6036,0.678,0.618,0.6463,0.5129,0.4832,0.6302,0.4047,0.0019,0.579,0.2308,0.6646,0.5282,0.4862,0.5681,0.6197,0.536,0.6825,0.4778,0.239,1
0.3434,0.1417,0.2663,0.015,0.4076,0.145,0.2457,0.0132,0.3872,0.1566,0.3519,0.0211,0.0023,0.7049,0.3388,0.6643,0.7701,0.7958,0.7484,0.8571,0.6589,0.6857,0.6145,0.4319,0.0023,0.7612,0.2955,0.7477,0.8397,0.7402,0.8947,0.8169,0.7237,0.6905,0.6895,0.4052,1
0.1102,0.3394,0.1308,0.0121,0.1117,0.3279,0.1255,0.002,0.1071,0.3166,0.1751,0.0086,0.0008,0.5472,0.2276,0.7337,0.5736,0.7008,0.5591,0.6948,0.4982,0.4704,0.4891,0.3898,0.0008,0.6129,0.3501,0.6416,0.7778,0.7998,0.721,0.7051,0.5871,0.6731,0.8363,0.4781,1
0.2464,0.4246,0.2825,0.0505,0.3323,0.5021,0.1825,0.0546,0.3137,0.4699,0.2954,0.056,0.0017,0.4925,0.1159,0.5342,0.5625,0.5493,0.5488,0.7058,0.5129,0.4357,0.545,0.3168,0.0017,0.4933,0.0981,0.3502,0.5157,0.4123,0.5024,0.5678,0.4912,0.6325,0.5997,0.1855,1
0.2096,0.3624,0.2517,0.0025,0.3141,0.3898,0.2062,0.0032,0.3089,0.3502,0.3138,0.0027,0.0014,0.5957,0.2263,0.6151,0.7156,0.6824,0.6268,0.7644,0.5319,0.5701,0.5717,0.3898,0.0014,0.592,0.1698,0.6404,0.7201,0.7058,0.6715,0.7183,0.5812,0.6861,0.7996,0.3369,1
0.1279,0.3143,0.1574,0.0175,0.1411,0.3172,0.1542,0.006,0.1217,0.3351,0.1813,0.0113,0.0032,0.5679,0.1788,0.6428,0.628,0.6202,0.6313,0.7329,0.5329,0.5462,0.4978,0.4526,0.0032,0.6086,0.2098,0.6517,0.5425,0.5377,0.6929,0.6747,0.6428,0.6553,0.7025,0.4493,1
0.1129,0.4921,0.0902,0.0159,0.1303,0.5255,0.0541,0.0117,0.1198,0.4841,0.1061,0.0193,0,0.4747,0.2289,0.5573,0.5666,0.6229,0.5443,0.5825,0.443,0.4412,0.4046,0.3106,0,0.5121,0.2467,0.6565,0.4875,0.5153,0.6535,0.5837,0.4792,0.6234,0.3992,0.2638,1
0.3401,0.2126,0.3317,0.005,0.4742,0.2665,0.2298,0.0043,0.4485,0.2614,0.3245,0.0047,0.0013,0.6527,0.3588,0.6839,0.7081,0.7432,0.6549,0.752,0.5357,0.6388,0.7141,0.4101,0.0013,0.6586,0.3819,0.8478,0.5875,0.63,0.6085,0.6131,0.6057,0.7595,0.7135,0.4072,1
